X,Y,Z,Name,Organisme,Adresse,Ville,Province,Code_postal,Localisation_de_l_amiante,Source,L__gislation,Cat__gorie,Latitude,Longitude,Code postal,amiante,gislation,gorie
-71.078657,46.046996,0,Quatre-Vents,des Appalaches,23 Rue Du Parc,Adstock,Québec,G0N 1S0,Plâtre plancher panneaux et finis,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,46.046996,-71.078657,G0N 1S0,Plâtre plancher panneaux et finis,LSST RSST et CSTC,Établissement scolaire
-71.176086,46.133451,0,Source,des Appalaches,5 Chemin Du Sacré-Coeur Ouest,Adstock,Québec,G0N 1S0,Calorifuges plancher et crépi,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,46.133451,-71.176086,G0N 1S0,Calorifuges plancher et crépi,LSST RSST et CSTC,Établissement scolaire
-72.443624,48.882483,0,Sainte-Lucie,du Pays-des-Bleuets,327 Rue De L'Église,Albanel,Québec,G8M 3E9,Murs,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,48.882483,-72.443624,G8M 3E9,Murs,LSST RSST et CSTC,Établissement scolaire
-78.113491,48.576239,0,Saint-Viateur,Harricana,662 1Re Rue Est,Amos,Québec,J9T 2H6,Plafonds,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,48.576239,-78.113491,J9T 2H6,Plafonds,LSST RSST et CSTC,Établissement scolaire
-78.113468,48.574016,0,Ste-Thérèse,Harricana,562 1Re Rue Est,Amos,Québec,J9T 2H4,Murs,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,48.574016,-78.113468,J9T 2H4,Murs,LSST RSST et CSTC,Établissement scolaire
-78.126401,48.573076,0,Alternative Harricana,Harricana,601 4E Rue Ouest,Amos,Québec,J9T 2S1,Murs,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,48.573076,-78.126401,J9T 2S1,Murs,LSST RSST et CSTC,Établissement scolaire
-78.126393,48.573082,0,Christ-Roi,Harricana,671 2E Avenue Ouest,Amos,Québec,J9T 1S9,Calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,48.573082,-78.126393,J9T 1S9,Calorifuge,LSST RSST et CSTC,Établissement scolaire
-78.113458,48.577334,0,La Calypso,Harricana,800 1Re Rue Est,Amos,Québec,J9T 2H8,Murs,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,48.577334,-78.113458,J9T 2H8,Murs,LSST RSST et CSTC,Établissement scolaire
-78.113492,48.579502,0,Polyvalente De La Forêt,Harricana,850 1Re Rue Est,Amos,Québec,J9T 2H8,Murs,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,48.579502,-78.113492,J9T 2H8,Murs,LSST RSST et CSTC,Établissement scolaire
-78.113479,48.576699,0,Sacré-Cœur,Harricana,712 1Re Rue Est,Amos,Québec,J9T 2H8,Calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,48.576699,-78.113479,J9T 2H8,Calorifuge,LSST RSST et CSTC,Établissement scolaire
-78.113428,48.568545,0,Saint-Joseph,Harricana,332 1Re Rue Est,Amos,Québec,J9T 2G5,Calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,48.568545,-78.113428,J9T 2G5,Calorifuge,LSST RSST et CSTC,Établissement scolaire
-67.43745,48.463814,0,École Caron - Amqui,des Monts-et-Marées,50 Rue Roy,Amqui,Québec,G5J 1V2,"Flocages (joint de produit ignifuge sur équipement) au rez-de-chaussée panneaux et carreaux de plafond au rez-de-chaussée carreaux et colle de plancher au rez-de-chaussée carreaux de plancher
à l'étage 1 et dans la composition de la toiture",Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,48.463814,-67.43745,G5J 1V2,Flocages (joint de produit ignifuge sur équipement) au rez-de-chaussée panneaux et carreaux de plafond au rez-de-chaussée carreaux et colle de plancher au rez-de-chaussée carreaux de plancher,LSST RSST et CSTC,Établissement scolaire
-67.436742,48.459171,0,École St-Tharcisius,des Monts-et-Marées,93 Avenue Du Parc,Amqui,Québec,G5J 2L8,"Pâte cimentaire sur la tuyauterie carreaux de vinyle et la colle de ceux-ci et dans la composition de la
toiture",Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,48.459171,-67.436742,G5J 2L8,Pâte cimentaire sur la tuyauterie carreaux de vinyle et la colle de ceux-ci et dans la composition de la,LSST RSST et CSTC,Établissement scolaire
-67.430976,48.468525,0,École St-Ursule - Amqui,des Monts-et-Marées,123 Rue Desbiens,Amqui,Québec,G5J 3P9,"Flocages (Produit ignifuge fibreux sur le plafont à l'étage 3) pâte cimentaire et carton multicouche sur la tuyauterie Plâtre sur les les murs à grandeur de l'école et plâtre au plafond du rez-de-chaussé au dernier étage crépi cimentaire sur les murs extérieurs carreaux et la colle des plamcher à l'étage
2 et dans la composition du toit",Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,48.468525,-67.430976,G5J 3P9,Flocages (Produit ignifuge fibreux sur le plafont à l'étage 3) pâte cimentaire et carton multicouche sur la tuyauterie Plâtre sur les les murs à grandeur de l'école et plâtre au plafond du rez-de-chaussé au dernier étage crépi cimentaire sur les murs exté,LSST RSST et CSTC,Établissement scolaire
-67.436742,48.459171,0,École Val-Brillant,des Monts-et-Marées,93 Avenue Du Parc,Amqui,Québec,G5J 2L8,"Pâte cimentaire sur la tuyauterie et les équipements crépi cimentaire sur les murs et les plafonds
carreau de plancher et dans la composition de la toiture",Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,48.459171,-67.436742,G5J 2L8,Pâte cimentaire sur la tuyauterie et les équipements crépi cimentaire sur les murs et les plafonds,LSST RSST et CSTC,Établissement scolaire
-72.934912,45.353772,0,Jean-Xxiii,des Hautes-Rivières,125 Rue Saint-Jean,Ange-Gardien,Québec,J0E 1E0,plancher composé à joint,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.353772,-72.934912,J0E 1E0,plancher composé à joint,LSST RSST et CSTC,Établissement scolaire
-73.550315,45.602693,0,Dalkeith,English-Montréal,7951 Av. de Dalkeith,Anjou,Québec,H1K 3X6,Plafond Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.602693,-73.550315,H1K 3X6,Plafond Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-64.295041,48.931165,0,École Saint-Joseph-Alban,Chic-Chocs,615 Bd du Griffon,La Côte-de-Gaspé,Québec,G4X 6A7,Mur et plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,48.931165,-64.295041,G4X 6A7,Mur et plancher,LSST RSST et CSTC,Établissement scolaire
-70.584022,46.744341,0,Ecole Belle-Vue,CS Côte du Sud,"100, rue du Collège",Armagh,Québec,G0R 1A0,Murs et planchers,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,46.744341,-70.584022,G0R 1A0,Murs et planchers,LSST RSST et CSTC,Établissement scolaire
-71.768563,45.450777,0,Source-Vive,de la Région Sherbrooke,125 Rue Du Collège,Ascot Corner,Québec,J0B 1A0,Tuiles de plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.450777,-71.768563,J0B 1A0,Tuiles de plancher,LSST RSST et CSTC,Établissement scolaire
-68.643139,47.727867,0,De La Marguerite,Commission scolaire du Fleuve-et-des-Lacs,775 Rue Du Clocher,Auclair,Québec,G0L 1A0,100%,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,47.727867,-68.643139,G0L 1A0,100%,LSST RSST et CSTC,Établissement scolaire
-70.736116,45.655693,0,D'Audet,des Hauts-Cantons,242 Rue Principale,Audet,Québec,G0Y 1A0,Murs plafonds,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.655693,-70.736116,G0Y 1A0,Murs plafonds,LSST RSST et CSTC,Établissement scolaire
-70.360052,46.174988,0,École Jouvence,de la Beauce-Etchemin,12 Rue Des Lilas,Aurélie,Québec,G0M 1M0,Revêtements de planchers,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,46.174988,-70.360052,G0M 1M0,Revêtements de planchers,LSST RSST et CSTC,Établissement scolaire
-73.761609,45.627514,0,Horizon-Jeunesse,de Laval,155 Boul. Sainte-Rose Ouest,Auteuil,Québec,H7H 1P2,Murs plafonds Planchers,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.627514,-73.761609,H7H 1P2,Murs plafonds Planchers,LSST RSST et CSTC,Établissement scolaire
-73.741267,45.628079,0,Sainte-Béatrice,de Laval,5409 Rue De Prince-Rupert,Auteuil,Québec,H7K 2L7,Murs plafonds Planchers,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.628079,-73.741267,H7K 2L7,Murs plafonds Planchers,LSST RSST et CSTC,Établissement scolaire
-72.04228,45.167604,0,Ayer'S Cliff Elementary School,Eastern Townships,952 Rue Sanborn,Ayer's Cliff,Québec,J0B 1C0,Plafond Mur  Isolant Mécanique,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.167604,-72.04228,J0B 1C0,Plafond Mur  Isolant Mécanique,LSST RSST et CSTC,Établissement scolaire
-73.908202,45.4144,0,Joseph-Henrico,Centre de services scolaire Marguerite-Bourgeoys,20 Rue Maughan,Baie D'Urfé,Québec,H9X 3C9,Salle mécanique (Calorifuge),Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.4144,-73.908202,H9X 3C9,Salle mécanique (Calorifuge),LSST RSST et CSTC,Établissement scolaire
-73.919346,45.412229,0,Dorset,Lester B. Pearson,106 Dorset,Baie D'Urfé,Québec,H9X 2Z6,Calorifuge tuyauterie,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.412229,-73.919346,H9X 2Z6,Calorifuge tuyauterie,LSST RSST et CSTC,Établissement scolaire
-62.810337,50.286068,0,École Saint-François-Régis,de la Moyenne-Côte-Nord,12 Rue Tanguay,Baie Johan-Beetz,Québec,G0G 1B0,Plancher murs,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,50.286068,-62.810337,G0G 1B0,Plancher murs,LSST RSST et CSTC,Établissement scolaire
-68.256276,49.190727,0,Centre Administratif,de l'Estuaire,620 Rue Jalbert,Baie-Comeau,Québec,G5C 0B8,Planchers,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,49.190727,-68.256276,G5C 0B8,Planchers,LSST RSST et CSTC,Établissement scolaire
