X,Y,Z,Name,Organisme,Adresse,Ville,Province,Code_postal,Localisation_de_l_amiante,Source,L__gislation,Cat__gorie,Latitude__y_,Longitude__x_,Code postal,amiante,gislation,gorie
-72.662354,45.015128,0,Agence Des Services Frontaliers Du Canada - Abercorn,,549 Route 139,Abercorn,Québec,J0E 1B0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.015128,-72.662354,J0E 1B0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.447554,45.574634,0,Conseil National De Recherches Canada - Bou-1 & Bou-5,,75 Boul. De Mortagne,Boucherville,Québec,J4B 6Y4,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.574634,-73.447554,J4B 6Y4,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-61.861994,47.379573,0,Agence Canadienne D'Inspection Des Aliments,,235 Chemin Principale,Cap-aux-Meules,Québec,G4T 1R7,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,47.379573,-61.861994,G4T 1R7,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-64.674451,48.351139,0,Édifice Fédéral / Bureau De Poste Chandler,,75 Boul. René-Lévesque E.,Chandler,Québec,G0C 1K0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,48.351139,-64.674451,G0C 1K0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-71.204919,45.252835,0,Agence Des Services Frontaliers Du Canada - Chartierville,,165 Rue St-Hyacinthe,Chartierville,Québec,J0B 1K0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.252835,-71.204919,J0B 1K0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.871058,45.52891,0,Maison Coach Et Willson,,Chemin Meech Lake,Chelsea,Québec,J0X 1N0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.52891,-75.871058,J0X 1N0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.21203,45.013071,0,Agence Des Services Frontaliers Du Canada - Clarenceville,,2500 Chemin Beach,Clarenceville,Québec,J0J 1B0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.013071,-73.21203,J0J 1B0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.752203,45.454929,0,700 Leigh-Capreol Plaza Dorval Qc,,700 Rue Leigh-Capreol,Dorval,Québec,H4Y 1G7,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.454929,-73.752203,H4Y 1G7,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.751792,45.458196,0,Aéroport International Montréal-Trudeau,,Bd Roméo Vachon Nord (Arrivées),Dorval,Québec,H4Y 1H1,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.458196,-73.751792,H4Y 1H1,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.748761,45.457761,0,Agence Des Services Frontaliers Du Canada - Location,,975 Avenue Roméo Vachon Nord,Dorval,Québec,H4Y 1H2,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.457761,-73.748761,H4Y 1H2,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
