lat,lon,Z,Name,Organisme,Adresse,Ville,Province,Code_postal,Localisation_de_l_amiante,Source,L__gislation,Cat__gorie,Latitude,Longitude,Code postal,amiante,gislation,gorie
-73.567559,45.497947,0,1100 Rue De la Gauchetière O,Centre de services scolaire Marguerite-Bourgeoys,1100 Rue De la Gauchetière O,Montréal,Québec,H3B 2S2,Salle mécanique (Calorifuge),Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.497947,-73.567559,H3B 2S2,Salle mécanique (Calorifuge),LSST RSST et CSTC,Établissement scolaire
-73.578088,45.497336,0,Annexe,Concordia University,1400 Maisonneuve Blvd W,Montréal,Québec,H3G 1M8,murs calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.497336,-73.578088,H3G 1M8,murs calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.579911,45.498197,0,Annexe,Concordia University,2160 R. Bishop,Montréal,Québec,H3G 2E9,calorifuge murs,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.498197,-73.579911,H3G 2E9,calorifuge murs,LSST RSST et CSTC,Établissement scolaire
-73.577961,45.493149,0,Grey Nuns Annexe,Concordia University,1211-1215 St-Mathieu St.,Montréal,Québec,H3H 2P7,calorifuge murs,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.493149,-73.577961,H3H 2P7,calorifuge murs,LSST RSST et CSTC,Établissement scolaire
-73.576027,45.494174,0,Grey Nuns Mother House,Concordia University,1190 Guy Street,Montréal,Québec,H3H 2R9,calorifuge murs,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.494174,-73.576027,H3H 2R9,calorifuge murs,LSST RSST et CSTC,Établissement scolaire
-73.577891,45.495117,0,Guy Metro Building,Concordia University,1435 Rue Guy,Montréal,Québec,H3H 2L5,isolant calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.495117,-73.577891,H3H 2L5,isolant calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.578748,45.496829,0,Henry F. Hall Building,Concordia University,1455 De Maisonneuve Blvd. W.,Montréal,Québec,H2L 2B2,isolant calorifuge murs,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.496829,-73.578748,H2L 2B2,isolant calorifuge murs,LSST RSST et CSTC,Établissement scolaire
-73.639252,45.457671,0,Hingston Hall,Concordia University,7141 Sherbrooke St. West,Montréal,Québec,H4B 1R6,calorifuge murs plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.457671,-73.639252,H4B 1R6,calorifuge murs plancher,LSST RSST et CSTC,Établissement scolaire
-73.578088,45.497336,0,Library Building,Concordia University,1400 Maisonneuve Blvd W,Montréal,Québec,H3G 1M8,calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.497336,-73.578088,H3G 1M8,calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.639252,45.457671,0,Loyola Chapel And Fc Smith,Concordia University,7141 Rue Sherbrooke O,Montréal,Québec,J0M 1E0,calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.457671,-73.639252,J0M 1E0,calorifuge,LSST RSST et CSTC,Établissement scolaire
