lat,lon,Z,Name,Organisme,Adresse,Ville,Province,Code_postal,Localisation_de_l_amiante,Source,L__gislation,Cat__gorie,Latitude__y_,Longitude__x_,Code postal,amiante,gislation,gorie
-73.534437,45.568176,0,Location,,2350 Rue Dickson,Montréal,Québec,H1N 3T1,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.568176,-73.534437,H1N 3T1,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.559069,45.517775,0,Location,,1001 Boul. De Maisonneuve Est,Montréal,Québec,H2L 4P9,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.517775,-73.559069,H2L 4P9,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.555762,45.506282,0,Place De La Justice,,1 Rue Notre-Dame Est,Montréal,Québec,H2Y 1B6,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.506282,-73.555762,H2Y 1B6,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.557435,45.504658,0,Pari Cnrc Montréal,,507 Place D'Armes,Montréal,Québec,H2Y 2W8,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.504658,-73.557435,H2Y 2W8,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.555918,45.500313,0,Édifice Dominique Ducharme,,105105 Rue Mcgill/400 Place D'Youville,Montréal,Québec,H2Y 3N4,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.500313,-73.555918,H2Y 3N4,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.564202,45.50617,0,Location,,305 Boul. René-Lévesque Ouest,Montréal,Québec,H2Z 1A6,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.50617,-73.564202,H2Z 1A6,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.562442,45.507563,0,Complexe Guy-Favreau (Tour Est),,200 Boul. René-Lévesque Ouest,Montréal,Québec,H2Z 1X4,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.507563,-73.562442,H2Z 1X4,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.562442,45.507563,0,Complexe Guy-Favreau (Tour Ouest),,200 Boul. René-Lévesque Ouest,Montréal,Québec,H2Z 1X4,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.507563,-73.562442,H2Z 1X4,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.571589,45.504116,0,Place London Life,,2001 Boul. Robert-Bourassa,Montréal,Québec,H3A 2A6,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.504116,-73.571589,H3A 2A6,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.571102,45.504741,0,Édifice Parkade,,2021 Rue Union,Montréal,Québec,H3A 2S9,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.504741,-73.571102,H3A 2S9,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
