Adresse,Latitude,Longitude,Country,Year
1882-1888 rue Saint-Timothée,45.519391,-73.562937,H2L,1955
498 avenue Wood,45.49006,-73.593134,H3Y,1895
1476-1482 rue Nicolet,46.227639,-72.621524,J3T,1971
4833-4837 rue Grand-Pré,45.472307,-73.635226,H3X,1910
5230 rue Saint-Dominique,45.663419,-72.341265,J0H,1962
3424 place Joseph-N.-Drapeau,45.469694,-73.571574,H4G,1915
785 avenue Antonine-Maillet,45.516336,-73.618087,H2V,1905
1520 avenue Docteur-Penfield,45.498104,-73.584903,H3G,1900
3578 avenue Vendôme,45.619432,-73.609984,H1G,1956
3682 rue Drolet,45.5178,-73.571524,H2X,1900
5041-5049 rue Boyer,45.53014,-73.585458,H2J,1910
563-567 rue Ville-Marie,47.336612,-79.480565,J9V,1944
1634-1638 rue Nicolet,46.227639,-72.621524,J3T,1900
209-221 avenue Fairmount O,45.521209,-73.597212,H2V,1961
1790 Ch Markham,0.0,0.0,,1919
5489-5499 avenue Victoria,45.491838,-73.631458,H3W,1953
4610 rue Bordeaux,45.535229,-73.574817,H2H,1910
7405 avenue Glenwood,45.50725,-73.639968,H3R,1945
4300-4800 rue Savane,45.591766,-73.625339,H1H,1952
619 rue Bourgeoys,45.480065,-73.559211,H3K,1993
5633 rue Saint-Dominique,45.663419,-72.341265,J0H,1925
2101-2105 boulevard Rosemont,45.543257,-73.589382,H2G,1880
329 avenue Prince-Albert,45.497991,-73.557733,H3C,1900
5301 rue Lafond,45.552526,-73.57091,H1X,1875
128 avenue Maplewood,45.513524,-73.601733,H2V,1905
275 Av Revere,45.446594,-73.777297,H9S,1926
3122 avenue Kirkfield,45.508818,-73.637404,H3R,1913
4689 rue Jean-Talon E,45.5723,-73.586874,H1S,1996
3421-3425 rue De Bullion,45.514354,-73.569227,H2X,1950
2139-2145 rue De Chambly,45.49645,-73.251721,J3L,1900
128 Av Lazard,45.444872,-73.776772,H9S,1927
4604-4606 avenue Van Horne,45.496078,-73.635706,H3W,1910
258 avenue Willowdale,45.506805,-73.61661,H3T,1987
4332-4336 rue Messier,45.535561,-73.568064,H2H,1931
2433 rue Saint-Clément,45.560519,-73.541631,H1V,1964
5083-5089 avenue 18e,45.554813,-73.566228,H1X,1930
5032-5036 rue Clark,45.522049,-73.592655,H2T,1910
2150 rue Tupper,45.490001,-73.581848,H3H,1958
1155 boulevard De Maisonneuve E,45.518804,-73.558292,H2L,1955
2820 avenue Ekers,45.51128,-73.631579,H3S,1956
3434-3436 avenue Laval,45.56296,-73.72306,H7N,1900
3817-3827 boulevard Saint-Laurent,45.505077,-73.674872,H4L,1900
5696-5698 rue Jeanne-Mance,45.523872,-73.604229,H2V,1910
1442-1450 avenue Orléans,45.504529,-73.570477,H3A,1952
171 Boul Hymus,45.487818,-73.765749,H9P,2001
4255 rue André-Laurendeau,45.54387,-73.564692,H1Y,1953
1857-1861 rue Fullum,45.52979,-73.553293,H2K,1944
5396-5400 rue Hutchison,45.520505,-73.601114,H2V,1910
5285-5287 rue Clark,45.524165,-73.596604,H2T,1919
3625-3627 rue Saint-Urbain,45.51316,-73.574287,H2X,1936
9023-9025 boulevard Viau,45.587901,-73.612118,H1R,1936
7557-7565 terrasse Saint-Roch,45.531145,-73.626425,H3N,1960
25 Av Glengarry,45.433417,-73.737507,H9S,1919
1466-1470 rue Aylwin,45.542633,-73.540462,H1W,1976
525-555 rue Beaubien E,45.535307,-73.604091,H2S,1906
1426 avenue Docteur-Penfield,45.499756,-73.583358,H3G,1924
2637-2639 rue Joliette,46.041858,-73.438003,J6E,1900
4482-4484 avenue Orléans,45.619432,-73.609984,H1G,1945
1603 boulevard Pie-IX,45.549535,-73.537462,H1V,1965
2059 rue Saint-Christophe,45.518905,-73.564875,H2L,1900
2076-2078 rue Coleraine,45.478283,-73.560881,H3K,1890
2056 avenue Grey,45.475457,-73.604719,H4A,1900
3010 chemin De Breslay,45.491788,-73.58975,H3Y,1900
139-141 rue Beaudoin,45.47361,-73.583983,H4C,1986
4556-4558 rue Garnier,45.531198,-73.577663,H2J,1890
169 Av Chester,45.441109,-73.76717,H9S,1946
4345-4349 avenue Christophe-Colomb,45.527044,-73.576581,H2J,1910
2615 rue Aylwin,45.54687,-73.55337,H1W,1957
2602 rue Workman,45.482736,-73.576522,H3J,1911
3763 avenue Grey,45.478976,-73.611284,H4A,2001
3499-3501 chemin Côte-Sainte-Catherine,45.400871,-73.547762,J5C,1941
2711 boulevard Édouard-Montpetit,45.505123,-73.617518,H3T,1935
1875 rue Notre-Dame,45.435166,-73.680154,H8S,1933
1085 rue Smith,45.492762,-73.556985,H3C,1956
6048-6058 rue Waverly,45.5268,-73.60706,H2T,1915
5065 rue Turcot,45.470938,-73.593872,H4C,1911
4420 avenue Bourbonnière,45.552803,-73.558755,H1X,1869
3435-3441 rue Jeanne-Mance,45.509862,-73.571862,H2X,1964
4534-4536 rue De Bullion,45.521916,-73.58591,H2T,1936
622 avenue Murray Hill,45.485397,-73.607606,H3Y,1922
4518-4522 rue Chapleau,45.538692,-73.56982,H2H,1936
3921-3925 rue Saint-Urbain,45.515363,-73.579223,H2W,1940
3372-3378 rue Adam,45.541586,-73.542065,H1W,1935
1590 rue Préfontaine,45.53895,-73.54381,H1W,1963
5020-5024 rue Sainte-Catherine E,45.558108,-73.529006,H1V,1917
4450 rue Canadien-Pacifique,45.547639,-73.564651,H1Y,1885
539-541 rue Ontario E,45.517779,-73.564623,H2L,1875
3434-3438 rue Rouen,45.544366,-73.549099,H1W,1900
341 Av Kenaston,45.488259,-73.595325,H3Y,1947
474 avenue Grosvenor,45.480383,-73.604799,H3Y,1882
4653-4655 rue Boyer,45.528572,-73.582011,H2J,1923
3874-3878 avenue Parc-La Fontaine,45.475641,-73.663426,H4W,1922
119 avenue Lewis,45.479474,-73.59411,H3Z,1904
5612-5616 rue Jeanne-Mance,45.523333,-73.603022,H2V,1933
2037-2041 rue Sanguinet,45.515277,-73.566404,H2X,1952
4825-4829 rue Hutchison,45.517812,-73.593336,H2V,1963
8500 boulevard Henri-Bourassa O,45.630948,-73.574053,H1E,1955
4714-4718 rue Mackenzie,45.498089,-73.643369,H3W,1926
1959-1965 avenue Morgan,45.553503,-73.538639,H1V,1989
3472-3478 rue Cartier,45.529271,-73.565042,H2K,1910
2906 rue Rose-Ouellette,45.544277,-73.564351,H1Y,2001
2369-2373 rue Ontario E,45.531256,-73.554515,H2K,2007
5740 avenue Déom,45.510011,-73.618421,H3S,1952
3105 avenue Barclay,45.507004,-73.6323,H3S,1900
3766 avenue Marlowe,45.477436,-73.612834,H4A,1926
1750 rue Amherst,45.875346,-74.376429,J8H,1922
7815 boulevard Henri-Bourassa O,45.623872,-73.586344,H1E,1935
6000 boulevard Henri-Bourassa E,45.60607,-73.616751,H1G,1954
4848-4852 rue De La Roche,45.53054,-73.582583,H2J,1949
1843 rue Baile,45.492426,-73.578569,H3H,1875
7490 avenue Glenwood,45.50725,-73.640901,H3R,1948
1433-1435 rue Davidson,45.541497,-73.540567,H1W,1998
4726-4730 avenue Papineau,45.533978,-73.577357,H2H,1935
5254-5256 rue Globert,45.483579,-73.62768,H3W,1950
453 avenue Mount-Stephen,45.483799,-73.600279,H3Y,1910
5227-5229 rue Cartier,45.537388,-73.581771,H2H,1968
5180-5184 avenue Durocher,45.518503,-73.598674,H2V,1910
600 rue Leclaire,45.554973,-73.530976,H1V,1907
645-647 rue Saint-Philippe,45.861291,-73.231906,J0L,1923
2291 rue Saint-Clément,45.560112,-73.540282,H1V,1910
5816-5818 rue Jeanne-Mance,45.5244,-73.605417,H2V,1910
197-199 rue Montagne,45.517256,-73.574138,H2W,1950
5247-5251 avenue Érables,45.607963,-73.557347,H1K,1899
2378-2380 rue Montgomery,45.537658,-73.556189,H2K,1900
3615-3617 avenue Hôtel-de-Ville,45.515168,-73.641931,H3R,1984
465 Av Vivian,45.488611,-73.595799,H3Y,1950
4851 rue Cedar Crescent,45.489097,-73.618591,H3W,1951
3901-3903 rue Drolet,45.519429,-73.574463,H2W,1987
4624-4628 rue Hutchison,45.516842,-73.592112,H2V,1910
5070 avenue Orléans,45.619432,-73.609984,H1G,1885
2175-2179 rue Gauthier,45.532851,-73.564137,H2K,1999
1309-1315 Ch Canora,45.619432,-73.609984,H1G,1953
3055 rue Delisle,45.482156,-73.579729,H4C,1989
5309-5311 rue De Lanaudière,45.534799,-73.586461,H2J,2008
4334-4338 avenue Jeanne-d'Arc,45.553998,-73.556266,H1X,1937
372 chemin Côte-Sainte-Catherine,45.400871,-73.547762,J5C,1928
3628-3636 rue Rouen,45.546491,-73.54784,H1W,1910
485 avenue Roslyn,45.481747,-73.604207,H3Y,1963
1333 Boul Laird,45.517673,-73.644336,H3P,1958
17 avenue Renfrew,45.486919,-73.607504,H3Y,1900
935 rue Cherrier,45.521073,-73.567716,H2L,1967
4685-4705 avenue Bourret,45.494047,-73.63438,H3W,1961
305 Boul Anciens-combattants,45.518378,-73.573557,H2W,1943
458 rue Sainte-Madeleine,45.663419,-72.341265,J0H,1910
3250-3252 place De Léry,45.541076,-73.557233,H1W,1870
3 route Anwoth,0.0,0.0,,1986
2980-2982 avenue Lacombe,45.501791,-73.618562,H3T,1913
3872-3874 avenue Kent,45.499286,-73.844155,H8Z,1960
2209-2211 rue De Champlain,46.440903,-72.345021,G0X,1943
1937 rue Workman,45.487033,-73.570694,H3J,1958
3577-3579 rue Sainte-Catherine E,45.543239,-73.538936,H1W,1954
4405 boulevard Métropolitain E,45.573514,-73.597872,H1R,1885
4955 rue Hochelaga,45.561787,-73.542644,H1V,1988
5157-5161 avenue Casgrain,45.52497,-73.592818,H2T,1968
5720-5722 rue Plantagenet,45.507578,-73.620108,H3S,1932
4705-4707 rue Bouchette,45.497513,-73.641798,H3W,1955
4801-4885 avenue Van Horne,45.494009,-73.638803,H3W,1952
4645-4647 rue Mackenzie,45.499073,-73.643112,H3W,1957
47 rue Prospect,45.485488,-73.584312,H3Z,1900
4953-4955 avenue Kent,45.499219,-73.843629,H8Z,1951
2675-2677 avenue Desjardins,45.55441,-73.550337,H1V,1952
16771-16781 Ch Sainte-marie,46.444123,-71.015358,G6E,1986
338 avenue Roslyn,45.479315,-73.600448,H3Z,2010
26 avenue Holton,45.490816,-73.591778,H3Y,1900
2265-2269 rue Frontenac,45.577334,-70.846392,G6B,1983
3650 rue McCarthy,45.520569,-73.733861,H4K,1981
4363-4367 avenue Érables,45.607963,-73.557347,H1K,1900
3465 rue Parthenais,45.533154,-73.563543,H2K,1943
2617-2619 rue Joliette,46.041858,-73.438003,J6E,1957
2036 avenue Orléans,45.505016,-73.571446,H3A,1950
4677 rue Berri,45.52614,-73.584152,H2J,1915
4308-4312 rue Adam,45.551414,-73.535477,H1V,1910
2155-2161 avenue Valois,45.547991,-73.545656,H1W,1940
3505-3509 rue Saint-Germain,45.545255,-73.558324,H1W,2001
2323-2331 rue Chapleau,45.533969,-73.558439,H2K,1910
854-858 avenue Épée,45.523578,-73.613585,H2V,1935
865 place Richmond,45.491841,-73.572636,H3J,1880
1627-1631 avenue Van Horne,45.517409,-73.617932,H2V,1913
4900 rue Bourg,45.473039,-73.701063,H4T,1956
3851 avenue Kent,45.499209,-73.634998,H3S,1958
5586 avenue Stirling,45.507862,-73.61704,H3T,1968
1475-1499 rue Bégin,45.49515,-73.713939,H4R,1964
4338-4342 rue Clark,45.518335,-73.584515,H2W,1900
3865 rue Rouen,45.548985,-73.546769,H1W,1957
2187-2189 rue Joliette,46.041858,-73.438003,J6E,1910
2355-2357 rue Coupal,45.530826,-73.553936,H2K,1900
1427-1433 avenue Jeanne-d'Arc,45.548031,-73.536576,H1W,1928
315 avenue Metcalfe,45.483108,-73.594765,H3Z,1900
1730-1740 rue Grand Trunk,45.482743,-73.56033,H3K,1875
5361 rue Hutchison,45.520707,-73.600703,H2V,1885
741 avenue Épée,45.522684,-73.610673,H2V,1870
3707-3715 rue Hochelaga,45.548262,-73.550874,H1W,1924
11420 boulevard Armand-Bombardier,45.627078,-73.584866,H1E,1987
12180 boulevard Albert-Hudon,45.620751,-73.616081,H1G,1937
601-603 avenue De La Salle,45.584023,-73.667833,H7E,1902
1813-1817 avenue Bourbonnière,45.547645,-73.541239,H1W,1900
5125-5127 avenue Coronation,45.463703,-73.647023,H4V,1948
455 avenue Claremont,45.478229,-73.607037,H3Y,1950
4667 rue Saint-Hubert,45.590879,-73.627647,H1H,1982
2548-2556 rue Frontenac,45.577334,-70.846392,G6B,1910
307 allée Glendale,45.517098,-73.625087,H2V,1947
500 rue Sainte-Madeleine,45.663419,-72.341265,J0H,1902
555 rue Chabanel O,45.53812,-73.655279,H2N,1984
2035 avenue Bourbonnière,45.548374,-73.543697,H1W,1946
4180 rue Badgley,45.501418,-73.648871,H4P,1949
5315 avenue Gatineau,45.497129,-73.621336,H3T,1951
4439-4441 avenue Orléans,45.619432,-73.609984,H1G,1984
8590 rue Pascal-Gagnon,45.601571,-73.587948,H1P,1989
1091 boulevard Mont-Royal,45.514929,-73.593633,H2V,1926
4732-4734 rue Resther,45.52693,-73.584873,H2J,1910
2760-3150 rue Remembrance,45.437576,-73.688773,H8S,1937
6407-6417 avenue De Chateaubriand,45.535432,-73.603258,H2S,1927
5182-5184 boulevard Pie-IX,45.557822,-73.565565,H1X,1952
771 Av Powell,45.619432,-73.609984,H1G,1943
4700-4702 avenue Kent,45.499286,-73.844155,H8Z,1952
5196-5212 rue Saint-Hubert,45.593818,-73.622131,H1G,1885
2567-2571 rue Wurtele,45.539158,-73.557407,H2K,2013
5182-5184 rue Saint-Dominique,45.663419,-72.341265,J0H,1915
1672-1682 rue Sainte-Catherine E,45.522117,-73.552532,H2L,1952
1610 Ch Winton,0.0,0.0,,1954
2254-2260 rue Dorion,45.528376,-73.561726,H2K,1885
3124-3126 rue Fendall,45.499883,-73.618987,H3T,1949
5059-5061 avenue 18e,45.554689,-73.565841,H1X,1954
472-474 avenue Victoria,45.479758,-73.605668,H3Y,1911
1189-1193 rue Montagne,45.497317,-73.573501,H3G,1920
832 avenue Antonine-Maillet,45.516552,-73.619607,H2V,1949
1830 rue Gauthier,45.529954,-73.566747,H2K,1885
1161 boulevard Mont-Royal,45.514708,-73.597585,H2V,1998
378 rue Labadie,45.519317,-73.597077,H2V,1927
86-88 Boul Hymus,45.487818,-73.765749,H9P,1996
Université McGill,45.503177,-73.569808,H3B,2011
1001 rue Sherbrooke E,45.520558,-73.566432,H2L,1987
1009 Boul Laird,45.513834,-73.643626,H3R,1946
5309 rue Waverly,45.523135,-73.598101,H2T,1910
4126-4128 rue Saint-André,45.523652,-73.574838,H2L,1989
22 avenue Maplewood,45.515055,-73.59541,H2V,1900
8525 Ch Delmeade,0.0,0.0,,2004
599 avenue Lansdowne,45.484612,-73.608897,H3Y,1922
574-582 rue Vimont,45.414708,-73.891287,H9W,1958
4458-4466 rue La Fontaine,45.553397,-73.536546,H1V,1989
3743-3747 rue Sainte-Catherine E,45.544871,-73.537892,H1W,1954
555-557 rue Sicard,45.554369,-73.530569,H1V,1936
285 rue Gary-Carter,45.533075,-73.626691,H2R,1969
1689-1693 rue Beaudry,45.520423,-73.558932,H2L,1934
4443-4445 rue Messier,45.536704,-73.569663,H2H,1895
1249-1251 rue Ducas,45.437609,-73.605773,H8N,1924
21 route Ramezay,0.0,0.0,,1915
2920 rue Rose-Ouellette,45.544332,-73.565067,H1Y,1870
7777 autoroute Transcanadienne,45.58018,-73.483292,J4G,1976
3499 rue Douglas-B.-Floreani,45.512623,-73.636384,H3R,1957
2625-2627 chemin Bedford,45.084394,-72.935278,J0J,1946
4951 avenue Glencairn,45.486028,-73.623187,H3W,1910
85 avenue Courcelette,46.891171,-71.509547,G0A,2002
815-895 avenue Sainte-Croix,46.624404,-71.75628,G0S,1905
4822 avenue Roslyn,45.488113,-73.619963,H3W,1949
1807-1809 rue Préfontaine,45.539965,-73.546213,H1W,1958
2101-2107 rue Beaubien E,45.545731,-73.594646,H2G,1900
26 avenue Thornhill,45.487502,-73.598149,H3Y,1914
5250-5262 rue Sherbrooke O,45.474435,-73.608313,H4A,1910
165-175 rue Saint-Augustin,45.477475,-73.580223,H4C,1910
5110-5112 avenue Jeanne-d'Arc,45.556803,-73.565097,H1X,1950
2679 rue Wellington,45.473185,-73.562575,H3K,1965
5455-5457 avenue Brodeur,45.476867,-73.620859,H4A,1927
6659-6661 avenue De Chateaubriand,45.536826,-73.606323,H2S,1910
4302 avenue Montrose,45.489718,-73.59708,H3Y,1910
9500 chemin Côte-de-Liesse,45.599482,-73.602082,H1P,1931
825-851 rue McCaffrey,45.487166,-73.712948,H4T,1988
2165 rue Saint-Jacques,46.059982,-73.755796,J0K,1885
4880-4886 rue Hutchison,45.517837,-73.594351,H2V,1900
4377-4381 rue Chapleau,45.537953,-73.567412,H2H,1900
720 avenue Marin,45.483854,-73.580588,H4C,1910
756 avenue Lexington,45.488363,-73.614171,H3Y,1927
4283-4285 boulevard Saint-Laurent,45.505077,-73.674872,H4L,1900
1622-1628 rue Dufresne,45.52935,-73.549739,H2K,1941
4489 avenue Bourbonnière,45.553535,-73.559858,H1X,1988
2130-2152 rue Léger,45.440226,-73.615946,H8N,1915
614 avenue Grosvenor,45.482979,-73.61059,H3Y,1972
5400-5490 boulevard Thimens,45.498458,-73.731646,H4R,1973
2066-2076 rue Dorion,45.527413,-73.559566,H2K,1885
1127-1131 avenue Mont-Royal E,45.514993,-73.595839,H2V,1900
4607-4609 rue Notre-Dame O,45.473575,-73.588215,H4C,1986
2285 rue Sainte-Cunégonde,45.483363,-73.571537,H3J,1910
5237-5239 rue Garnier,45.534975,-73.585016,H2J,1920
892-912 rue Gilbert-Langevin,45.532146,-73.592881,H2J,1977
587-591 rue Sainte-Madeleine,45.663419,-72.341265,J0H,1971
1900 avenue 52e,45.670802,-73.501599,H1A,1953
619 avenue Lansdowne,45.484967,-73.609729,H3Y,1914
88 Av Morrison,45.433434,-73.737815,H9S,1953
3470-3476 rue La Fontaine,45.543176,-73.543304,H1W,1956
1008-1012 boulevard Saint-Laurent,45.505077,-73.674872,H4L,1953
823-827 rue Marie-Anne E,45.525024,-73.5788,H2J,1910
2106 Av Chartier,45.505581,-73.572631,H3A,1954
5280 avenue 17e,45.554778,-73.569756,H1X,1962
5610 avenue Durocher,45.52101,-73.604365,H2V,1910
165 chemin Côte-Sainte-Catherine,45.431935,-73.741807,H9S,1930
2627-2629 avenue De Soissons,45.508225,-73.622668,H3S,1913
2074-2080 rue De Chambly,45.49645,-73.251721,J3L,1940
7343 chemin Canora,45.514106,-73.632602,H3P,1950
1905 boulevard Saint-Joseph E,45.536322,-73.578834,H2H,1875
1423-1429 rue Plessis,45.520892,-73.554763,H2L,1955
2625 rue Aylwin,45.546921,-73.55354,H1W,1960
2082 rue Jeanne-Mance,45.508784,-73.570043,H2X,1956
2735-2741 rue Saint-Germain,45.544541,-73.555842,H1W,1960
2339-2349 rue Hogan,45.537147,-73.55579,H2K,1910
4669 avenue Victoria,45.485463,-73.617287,H3W,1989
107 Ch Normandy,0.0,0.0,,1945
2990 avenue Kirkfield,45.510342,-73.636038,H3R,1957
5259-5263 rue Bordeaux,45.538464,-73.581021,H2H,1900
5173-5181 rue Bordeaux,45.53806,-73.580111,H2H,1924
1155-1157 rue Wellington,45.492724,-73.558197,H3C,1955
4976 avenue Glencairn,45.48552,-73.622423,H3W,1910
2653-2655 avenue Orléans,45.619432,-73.609984,H1G,1910
1800 rue Dufresne,45.530277,-73.551862,H2K,1900
3437 avenue Musée,45.499624,-73.580974,H3G,1885
488 avenue Mount-Pleasant,45.490511,-73.59458,H3Y,1900
4678 avenue Charlemagne,45.731985,-73.494508,J5Z,1949
3940-3950 rue Clark,45.516001,-73.579339,H2W,1992
4873-4877 rue Hutchison,45.518201,-73.594255,H2V,1920
4280 rue Saint-Dominique,45.663419,-72.341265,J0H,1910
326 avenue Épée,45.518919,-73.603141,H2V,1910
5265-5267 avenue Ponsard,45.482001,-73.624174,H3W,1961
7740 rue Ravenel,45.61299,-73.580821,H1J,1925
5164-5168 rue Fabre,47.199329,-79.367379,J0Z,2006
2568-2578 rue Leclaire,45.559561,-73.545131,H1V,1924
107-109 avenue Irvine,45.47976,-73.593083,H3Z,1949
1916-1924 rue Dufresne,45.530912,-73.553306,H2K,1935
11 route Anwoth,0.0,0.0,,1810
1620-1622 avenue Lajoie,45.516058,-73.614607,H2V,1900
1974-1976 rue Rachel E,45.531863,-73.567939,H2H,1922
5892 rue Jeanne-Mance,45.524868,-73.606439,H2V,1900
2540-2544 rue D'Iberville,45.535091,-73.559864,H2K,1956
5025-5027 avenue De Lorimier,45.537906,-73.577808,H2H,1944
1855-1857 rue Wellington,45.481119,-73.558682,H3K,1925
2132-2136 boulevard De Maisonneuve E,45.525875,-73.551031,H2K,1900
1627-1633 rue Saint-Denis,45.515088,-73.563005,H2X,1945
5340 avenue 17e,45.554901,-73.570154,H1X,2002
210 Av Simcoe,45.446102,-73.776989,H9S,2000
4520-4522 avenue Esplanade,45.518352,-73.588896,H2V,1885
3410 place Joseph-N.-Drapeau,45.469768,-73.57157,H4G,1986
2787-2791 rue Ontario E,45.535767,-73.550951,H2K,1900
151 Boul Hymus,45.487818,-73.765749,H9P,1976
4993-5021 boulevard Sources,45.507818,-73.820338,H8Y,1987
38 Av Palmerston,45.433434,-73.737815,H9S,1947
254 chemin Côte-Sainte-Catherine,45.431935,-73.741807,H9S,1910
5640 avenue Stirling,45.508194,-73.617893,H3T,1908
2051 avenue De La Salle,45.492829,-73.582857,H3H,1966
7412 chemin Canora,45.514225,-73.634297,H3P,1936
6060-6062 rue Waverly,45.526835,-73.607141,H2T,1909
1024-1028 rue Gilford,45.529117,-73.582781,H2J,1900
332-334 rue Bourgeoys,45.479745,-73.552889,H3K,1924
63-65 avenue Duluth O,45.516241,-73.58022,H2W,1910
2041-2055 rue Leclaire,45.557569,-73.537596,H1V,1929
2300 rue Sherbrooke E,45.533666,-73.561762,H2K,1923
3999-4001 rue Rivard,45.521247,-73.574982,H2L,1885
4576-4578 rue Bordeaux,45.535045,-73.574414,H2H,1956
2855-2965 boulevard Pitfield,45.496699,-73.746284,H4S,1940
9070 rue Paul-Morand,45.616909,-73.626688,H1G,1996
4550-4552 rue Saint-Hubert,45.590093,-73.628195,H1H,1967
4693-4697 rue Boyer,45.528785,-73.582458,H2J,1885
61 rue Square-Sir-George-Étienne-Cartier,45.472428,-73.582851,H4C,2010
634 Av Lazard,45.489391,-73.598678,H3Y,1952
74 Av Simcoe,45.433434,-73.737815,H9S,1947
3407-3415 rue Adam,45.542075,-73.542277,H1W,1900
375-391 rue Delinelle,45.473119,-73.587887,H4C,1922
540 Av Lazard,45.489391,-73.598678,H3Y,1951
403-415 rue Ontario E,45.516248,-73.565355,H2L,1885
91 rue Hallowell,45.483743,-73.587856,H3Z,1933
1250-1254 rue De Bleury,45.50602,-73.566648,H3B,1954
5840-5842 rue Clark,45.52696,-73.60353,H2T,1908
1125 avenue Mont-Royal E,45.515054,-73.595411,H2V,1910
2526-2536 rue Saint-Charles,45.479332,-73.56931,H3K,1885
1954 rue Workman,45.486654,-73.570421,H3J,2000
1891-1897 boulevard René-Lévesque E,45.522507,-73.549169,H2K,1880
40 avenue Kelvin,45.512173,-73.616351,H2V,1999
1220-1222 rue Dorion,45.522986,-73.550224,H2K,1965
2370-2374 rue Bercy,45.536632,-73.557354,H2K,1900
1048-1054 rue Mackay,45.493843,-73.573302,H3G,1900
595 Av Kenaston,45.489655,-73.59842,H3Y,1950
1801-1811 rue Saint-Germain,45.541288,-73.545057,H1W,1932
3662-3664 rue Clark,45.513899,-73.574567,H2X,1927
7800 Aut Transcanadienne,0.0,0.0,,1976
2137-2143 rue Darling,45.543063,-73.548272,H1W,1939
505 rue Bourgeoys,45.480041,-73.556303,H3K,1949
2560 rue Sainte-Catherine E,45.530114,-73.545086,H2K,1931
4900-4902 avenue Victoria,45.486871,-73.621451,H3W,1905
2119-2125 rue Paris,45.477869,-73.560488,H3K,1956
1199 avenue Seymour,45.490439,-73.580392,H3H,1914
931-935 rue Marie-Anne E,45.525813,-73.578177,H2J,1900
115 place Blenheim,45.479034,-73.594785,H3Z,1925
2351 rue Workman,45.484439,-73.57449,H3J,1952
4559-4561 avenue Charlemagne,45.731985,-73.494508,J5Z,1960
5609-5611 avenue Gatineau,45.498961,-73.625285,H3T,1948
3882-3884 avenue Coloniale,45.516866,-73.576592,H2W,1878
535-537 rue Charon,45.479354,-73.557067,H3K,1910
745 avenue Rockland,45.51654,-73.616323,H2V,1927
4259-4263 rue Hochelaga,45.554389,-73.547346,H1V,1927
4118-4120 avenue Northcliffe,45.478431,-73.61678,H4A,1922
2404 avenue Brookfield,45.514562,-73.632252,H3P,1999
927-939 avenue Mont-Royal E,45.615493,-73.614041,H1G,1963
784 avenue Hartland,45.515301,-73.618809,H2V,1910
