Asset-name_Nom_du_bien,Street-number_Numéro-civique,Address_Adresse,City_Ville,Province-Code_Code-de-province,Province_Territory_Province_Territoire,Postal-code_Code-postal,Asbestos_Amiante
Fisheries Building,,Highway 410,Baie Verte,NL,Newfoundland and Labrador,A0K 1B0,No
E.K. Jerrett Building,45,Conception Bay Highway,Bay Roberts,NL,Newfoundland and Labrador,A0A 1G0,No
Community Council Building,,Tableland Drive,Birchy Head,NL,Newfoundland and Labrador,A0K 1K0,No
Sweetlands Building,232,Confederation Drive,Bonavista,NL,Newfoundland and Labrador,A0C 1B0,No
Doyle Building,,Main Street,Brig Bay,NL,Newfoundland and Labrador,A0K 4A0,No
Building,1,Main Street,Burgeo,NL,Newfoundland and Labrador,A0N 2H0,Work in progress
Building,64,Main,Channel-Port aux Basques,NL,Newfoundland and Labrador,A0M 1C0,Work in progress
Brett Building,2,Hopedale Avenue,Channel-Port aux Basques,NL,Newfoundland and Labrador,A0M 1C0,No
Rodway Building,58,Manitoba Drive,Clarenville,NL,Newfoundland and Labrador,A5A 1K5,No
Vardy Building,,Manitoba Drive,Clarenville,NL,Newfoundland and Labrador,A0E 1J0,No
Goobie Building,8,Myers Place,Clarenville,NL,Newfoundland and Labrador,A0E 1J0,No
Morgan Building,55,Thompson Street,Clarenville,NL,Newfoundland and Labrador,A5A 1Y9,No
Former Bank of Nova Scotia Building,49-53,Conception Bay Highway,Clarke's Beach,NL,Newfoundland and Labrador,A0A 1W0,No
FortisTowers,4,Herald Avenue,Corner Brook,NL,Newfoundland and Labrador,A2H 4B4,Yes
Lundrigan Building,18,Lundrigan Drive,Corner Brook,NL,Newfoundland and Labrador,A2H 7M3,No
Joseph R. Smallwood Building,1,Regent Square,Corner Brook,NL,Newfoundland and Labrador,A2H 7K6,No
Aylward Building,1-3,Union Street,Corner Brook,NL,Newfoundland and Labrador,A2H 5M7,No
Sir Wilfred Grenfell College,5,University Avenue,Corner Brook,NL,Newfoundland and Labrador,A2H 6J3,No
Watson Pond Industrial Park,10B,White Lakes Road,Corner Brook,NL,Newfoundland and Labrador,A2H 6E1,No
Tech Building,Lot #1,White Lakes Road,Corner Brook,NL,Newfoundland and Labrador,A2H 6C1,No
Warren Building,,Trinity South Highway,Dildo,NL,Newfoundland and Labrador,A0B 1P0,No
