DFRP-No_No-RBIF,Asset-name_Nom_du_bien,Street-number_Numéro-civique,Address_Adresse,City_Ville,Province-Code_Code-de-province,Province_Territory_Province_Territoire,Postal-code_Code-postal,Asset-type_Type-de-bien,Asbestos_Amiante,Mgmt-plan_Plan-gest
43664.0,Complexe Jacques Gagnon Complex,100,Saint-Joseph Street South,Alma,QC,Quebec,G8B 7A6,Lease,No,Not required
151473.0,Building,502,4th Street,Amos,QC,Quebec,J9T 1Y4,Lease,No,Not required
73961.0,Building,309,Chassé Street,Asbestos,QC,Quebec,J1T 2B4,Lease,Yes,Yes
26776.0,Building,300,Lasalle Boulevard,Baie-Comeau,QC,Quebec,G4Z 2K2,Lease,Work in progress,Work in progress
43554.0,Carrefour Baie-Comeau,337,Lasalle Boulevard,Baie-Comeau,QC,Quebec,G4Z 2Z1,Lease,No,Not required
22603.0,Building,955,Michèle-Bohec Boulevard,Blainville,QC,Quebec,J7G 5J6,Lease,No,Not required
30913.0,Building,10,Jacques-Cartier Avenue,Blanc-Sablon,QC,Quebec,G0G 1C0,Lease,No,Not required
17527.0,Building,540,D'Avaugour Street,Boucherville,QC,Quebec,J4B 0G6,Lease,No,Not required
55176.0,Building,2501,Lapinière Boulevard,Brossard,QC,Quebec,J4Z 3P1,Lease,No,Not required
21055.0,Building,3250,Lapinière Boulevard,Brossard,QC,Quebec,J4Z 3T8,Lease,No,Not required
7688.0,Sénateur Thomas Lefèbvre Building,2,John et Leslie Street,Campbell's Bay,QC,Quebec,J0X 1K0,Lease,No,Not required
43527.0,Building,120,De Gros Cap Road,Cap-aux-Meules,QC,Quebec,G4T 1R3,Lease,No,Not required
10579.0,Building,380,Principal Road,Cap-aux-Meules,QC,Quebec,G0B 1B0,Lease,No,Not required
5030.0,Federal building,235,Principale Street,Cap-aux-Meules,QC,Quebec,G0B 1B0,Crown-owned,Yes,Yes
6919.0,Building,8,Saint-Jacques Street North,Causapscal,QC,Quebec,G0J 1J0,Lease,No,Yes
55335.0,Building,1899,Périgny Boulevard,Chambly,QC,Quebec,J3L 4C3,Lease,No,Not required
18675.0,Federal building / Post Office Chandler,75,René-Lévesque Boulevard E,Chandler,QC,Quebec,G0C 1K0,Crown-owned,Yes,Yes
15229.0,Building,245,Saint-Jean-Baptiste Boulevard,Châteauguay,QC,Quebec,J6K 3C3,Lease,No,Not required
60162.0,Chibougamau Post Office,623,3rd Street,Chibougamau,QC,Quebec,G8P 1P0,Lease,No,Not required
8437.0,Building,345,Des Saguenéens Street,Chicoutimi,QC,Quebec,G7H 6K9,Lease,No,Not required
43503.0,Federal building,100,Lafontaine Street,Chicoutimi,QC,Quebec,G7M 6X2,Crown-owned,No,Not required
21504.0,Location,457,Wolverine Street,Chisasibi,QC,Quebec,J0M 1E0,Lease,No,Not required
