Adresse,Latitude,Longitude,AverageConstructionYearNearby
1100 Rue De la Gauchetière O,45.497947,-73.567559,1934.2204724409448
1400 Maisonneuve Blvd W,45.497336,-73.578088,1927.7643142476697
2160 R. Bishop,45.498197,-73.579911,1928.490410958904
1211-1215 St-Mathieu St.,45.493149,-73.577961,1924.3960396039604
1190 Guy Street,45.494174,-73.576027,1927.7037037037037
1435 Rue Guy,45.495117,-73.577891,1927.5714285714287
1455 De Maisonneuve Blvd. W.,45.496829,-73.578748,1927.051085568327
7141 Sherbrooke St. West,45.457671,-73.639252,1942.625
1400 Maisonneuve Blvd W,45.497336,-73.578088,1927.7643142476697
7141 Rue Sherbrooke O,45.457671,-73.639252,1942.625
125 Chemin Georges-Vallières,45.436501,-73.663631,1907.0
7200 Rue Sherbrooke O,45.457022,-73.639789,1939.875
7141 Sherbrooke St. W,45.457671,-73.639252,1942.625
7200 Sherbrooke St W O,45.457022,-73.639789,1939.875
7200 Sherbrooke St W O,45.457022,-73.639789,1939.875
7141 Sherbrooke O,45.457671,-73.639252,1942.625
7141 Rue Sherbrooke O,45.457671,-73.639252,1942.625
1515 Saint-Catherine St W,45.495118,-73.577887,1927.5714285714287
7141 Rue Sherbrooke O,45.457671,-73.639252,1942.625
1515 Rue Sainte-Catherine,45.495118,-73.577887,1927.5714285714287
8901 Boul. Saint-Michel,45.570501,-73.624579,1945.25
3737 Rue Sherbrooke Est,45.550516,-73.555142,1933.9654088050315
1095 Avenue De Rochebelle,46.768141,-71.301081,
1095 Avenue De Rochebelle,46.768141,-71.301081,
355 Rue Peel,45.494844,-73.561445,1934.9226519337017
1220 R. Notre Dame O,45.493745,-73.564094,1942.231939163498
1000 Rue Saint-Jacques,45.306185,-73.292847,
990 Rue Notre-Dame W,45.49566,-73.562819,1937.7483443708609
2775 Avenue Willowdale,45.548471,-73.723366,
2500 Chem. De Polytechnique,45.502752,-73.612414,1932.8979591836735
6000 Avenue Fielding,45.476717,-73.63652,1933.2083333333333
4563 Rue St-Urbain,45.519372,-73.588427,1924.0985748218527
4810 Avenue Van Horne,45.494284,-73.637617,1947.57328990228
500 Avenue Hudson,45.457444,-73.659405,1965.0
6800 Rue Pierre-De-Coubertin,45.581798,-73.534272,1928.6666666666667
314 Northview,45.454834,-73.654097,1922.695652173913
6111 Boul. M.-Duplessis,45.614637,-73.619933,1935.7951807228915
6000 Avenue Fielding,45.476717,-73.63652,1933.2083333333333
1935 Boul. Desmarchais,45.455697,-73.59091,1960.3076923076924
5440 Rue Notre-Dame Ouest,45.467826,-73.597437,1931.9666666666667
8955 Rue Meunier,45.538906,-73.64727,1958.55
3030 Rue Villeray,45.560063,-73.604882,1943.6666666666667
7575 19E Avenue,45.566937,-73.598897,1929.5
5100. Chemin De La Côte-Saint-Luc,45.482873,-73.620062,1934.6538987688098
9360 5E Rue,45.650523,-73.569045,1936.0
6108 8E Avenue,45.551449,-73.582086,1951.909090909091
1741 Rue De Biencourt,45.458681,-73.588321,1969.125
9944 Boul. Saint-Michel,45.5779,-73.641108,1920.0
7770 20E Avenue,45.567362,-73.598536,1926.8181818181818
6855 Boul. Cartier,45.546966,-73.602937,1917.25
1000 Avenue Old Orchard,45.469391,-73.607118,1942.15
8380 Avenue Wiseman,45.530061,-73.640308,1954.5
8961 6E Avenue,45.56785,-73.626925,1947.2
4850 Avenue Coronation,45.461902,-73.643135,1950.1153846153845
6255 Rue Hamilton,45.456468,-73.597644,1948.142857142857
8380 Avenue Wiseman,45.530061,-73.640308,1954.5
5925 27E Avenue,45.563746,-73.571468,1961.75
15 Place Du Parc,45.480545,-73.595689,1925.479002624672
6000 Avenue Fielding,45.476717,-73.63652,1933.2083333333333
3000 Chem. De La Côte-Sainte-Catherine,45.502316,-73.624222,1939.3621399176955
5255 Av. Decelles,45.497726,-73.619853,1934.0484848484848
5714 Avenue DeDarlington,45.50553,-73.621515,1934.7200854700855
800 Rue De La Gauchetière,45.500344,-73.56552,1932.4583333333333
385 R. Sherbrooke E,45.5169,-73.567641,1932.4753694581282
503 Boul. Saint-Jean,45.451264,-73.818608,
