Adresse,Latitude,Longitude,AverageConstructionYearNearby
10500 Ave de Bois-de-Boulogne,45.537204,-73.674766,1951.5
10555 Ave de Bois-de-Boulogne,45.537352,-73.676566,1939.6666666666667
3800 R. Sherbrooke E,45.549854,-73.555049,1932.9435975609756
6220 Rue Sherbrooke Est,45.579336,-73.545097,1931.3333333333333
6400 16E Avenue,45.558318,-73.58333,1936.3157894736842
255 Rue Ontario E,45.513999,-73.56603,1932.7848699763592
7025 Rue Marie-Victorin,45.616674,-73.607944,1942.4907481898633
3519 Rue Rachel E,45.54879,-73.558699,1931.2058823529412
1230 Rue De La Montagne,45.497478,-73.57434,1929.6845360824743
3744 Avenue Prud'Homme,45.475498,-73.613978,1930.6526946107786
5555 Rue De Bouvcherville,45.595771,-73.544893,1952.340425531915
1750 Rue Saint-André,45.518062,-73.562015,1934.1322436849925
1275 Rue Jarry Est,45.549168,-73.623253,1950.103448275862
10085 Avenue Durham,45.554719,-73.657557,1953.142857142857
11715 Rue Filion,45.528739,-73.695165,1963.1764705882354
6600 Rue Lemay,45.578043,-73.571256,1934.3333333333333
6650 39E Avenue,45.57352,-73.575036,1921.0
4265 Avenue Laval,45.521386,-73.581985,1919.4450307827617
2600 Avenue Fletcher,45.609159,-73.517043,1947.8333333333333
10055 Rue J-J-Gagnier,45.57638,-73.639117,1955.0
311 Avenue Des Pins Est,45.518282,-73.572519,1927.7138707334786
7941 Avenue Wiseman,45.528369,-73.634011,1942.2916666666667
415 Rue Saint-Roch,45.53163,-73.62844,1945.875
630 Rue Saint-Roch,45.52952,-73.629514,1944.128205128205
3131 Rue Goyer,45.507295,-73.633058,1945.8578680203045
9275 25E Avenue,45.582722,-73.621904,1954.142857142857
7760 Rue La Fontaine,45.588067,-73.513606,1963.75
8000 Avenue De L'Épée,45.530467,-73.632778,1941.923076923077
8000 Avenue De L'Épée,45.530467,-73.632778,1941.923076923077
2356 Rue Centre,45.480087,-73.566714,1935.076923076923
2651 Boul. Cremazie-E,45.559342,-73.611109,1916.25
2515 Rue Delisle,45.483498,-73.577229,1925.7088607594937
2075 Rue Sherbrooke Ouest,45.493361,-73.584978,1925.5057208237986
10780 Rue Laverdure,45.55259,-73.67205,1920.6666666666667
11760 Avenue Robert-Giffard,45.526113,-73.704034,1965.1304347826087
1635 Rue Darling,45.541796,-73.544436,1938.3709401709402
6315 13E Avenue,45.555942,-73.583544,1947.2666666666667
8833 Boul. St-Michel,45.570219,-73.623968,1945.25
5100 Rue Sherbrooke Est9E Étage,45.566953,-73.553317,1935.1538461538462
1905 Rue De Cadillac,45.570411,-73.527157,1981.5
6361 6E Av.,45.552293,-73.588727,1927.5454545454545
4105 47E Rue,45.58027,-73.622218,1940.857142857143
8699 Boul. St-Michel,45.569161,-73.621516,1941.3333333333333
7230 8E Avenue,45.556784,-73.599531,1926.142857142857
4976 Rue Notre-Dame Ouest,45.470576,-73.590835,1927.8648648648648
419 Rue Saint-Roch,45.531517,-73.628503,1945.2340425531916
4285 Rue Drolet,45.52191,-73.580193,1919.4968944099378
5017 Rue Saint-Hubert,45.528969,-73.587661,1927.1291989664082
1960 Rue Poupart,45.53189,-73.553678,1932.4415422885572
5850 Avenue De Carignan,45.583246,-73.554739,1967.3333333333333
2217 Avenue Papineau,45.527572,-73.562994,1933.9792243767313
6200 Rue Des Écores,45.546026,-73.589588,1939.2333333333333
85 Rue Jarry,45.537159,-73.632604,1943.796875
5850 Avenue De Carignan,45.583246,-73.554739,1967.3333333333333
3925 Rue Villeray,45.568048,-73.597925,1942.5625
2260 Rue Logan,45.527957,-73.551455,1931.1803797468353
2515 Rue Holt,45.545251,-73.583318,1928.7222222222222
2001 Rue Mullins,45.480007,-73.56265,1932.5845070422536
8150 Rue Rousselot,45.550899,-73.621325,1941.642857142857
1860 Avenue Morgan,45.553283,-73.539322,1941.4912790697674
525 Rue Louvain Est,45.55027,-73.651436,1951.75
1845 Boul. Desmarchais,45.455611,-73.588751,1959.2222222222222
1845 Boul. Desmarchais,45.455611,-73.588751,1959.2222222222222
1710 Rue Beaudry,45.520438,-73.559543,1928.769720101781
6839 Rue Drolet,45.536128,-73.612032,1939.3255813953488
10770 Rue Chambord,45.562076,-73.665995,1945.0
5643 Rue Clark,45.525943,-73.600772,1921.8977159880835
5100 Rue Sherbrooke Est,45.566953,-73.553317,1935.1538461538462
5100 Rue Sherbrooke Est,45.566953,-73.553317,1935.1538461538462
555 Rue Des Seigneurs,45.488677,-73.570983,1936.3728222996515
10591 Rue Séguin,45.570615,-73.655967,1964.0
6080 Avenue De L'Esplanade,45.526936,-73.608801,1925.0647058823529
5330 Avenue Dupuis,45.486388,-73.63619,1941.574780058651
5530 Avenue Dupuis,45.484104,-73.638366,1943.6422018348624
6455 27E Avenue,45.565529,-73.577186,1942.2
6639 Rue D'Aragon,45.451646,-73.597194,1936.142857142857
10085 Avenue Durham,45.554719,-73.657557,1953.142857142857
1690 Sauvé Est,45.563608,-73.648753,1954.6
5455 Rue Saint-Denis,45.529334,-73.594557,1928.420634920635
6755 36E Avenue,45.571784,-73.576756,1916.857142857143
7378 Rue Lajeunesse,45.540456,-73.617318,1944.2
3075 Avenue Lebrun,45.601335,-73.52743,1956.7692307692307
1130 Boul. Saint-Joseph Est,45.530247,-73.584013,1925.2573415765069
6200 Avenue Pierre-De-Coubertin,45.576857,-73.537478,
3450 Avenue De Lorimier,45.531069,-73.563973,1934.993288590604
2000 Rue Parthenais,45.529438,-73.556295,1931.2062211981568
3955 Rue de Bellechasse,45.4066,-73.935496,
6255 13E Avenue,45.555317,-73.581497,1941.05
5350 Avenue Rosedale,45.466741,-73.648836,1953.2666666666667
2455 Av. Letourneux,45.554621,-73.546237,1940.1919642857142
11845 Boul. L'Acadie,45.539524,-73.692051,1952.0
3449 Rue University,45.505408,-73.574265,1926.7199281867145
6055 Avenue De Darlington,45.507471,-73.624547,1937.6420323325635
10050 Avenue Durham,45.554613,-73.65762,1953.142857142857
10050 Avenue Durham,45.554613,-73.65762,1953.142857142857
12050 Avenue Bois-De-Boulogne,45.543436,-73.696698,1972.1875
12050 Avenue Bois-De-Boulogne,45.543436,-73.696698,1972.1875
8305 Rue Saint-André,45.54797,-73.629146,1953.2222222222222
1808 Avenue Papineau,45.524947,-73.557633,1926.5504132231406
1205 Rue Jarry Est,45.54882,-73.623794,1954.5945945945946
11400 Avenue De Poutrincourt,45.531285,-73.69065,1955.625
6300 Avenue Albani,45.583429,-73.559951,1945.0
8050 Avenue De Gaspé,45.540427,-73.629621,1949.5511363636363
8150 Rue Rousselot,45.550899,-73.621325,1941.642857142857
1935 Boul. Desmarchais,45.455697,-73.59091,1960.3076923076924
5010 Avenue Coolbrook,45.482466,-73.629726,1939.1482820976491
5000 Avenue Iona,45.484597,-73.625195,1936.7072205736895
4420 Rue Hochelaga,45.555863,-73.546,1940.4196078431373
4100 Rue Hochelaga,45.552621,-73.548182,1937.5367647058824
2237 Rue Fullum,45.53208,-73.558607,1931.2098393574297
2120 Rue Favard,45.477762,-73.556538,1928.4929378531074
4240 Rue De Bordeaux,45.532567,-73.569072,1932.4768946395563
8200 Rue Rousselot,45.551437,-73.622536,1945.695652173913
7450 Rue François-Perreault,45.563695,-73.600036,1932.875
7450 Rue François-Perreault,45.563695,-73.600036,1932.875
4575 Avenue Mariette,45.462651,-73.640178,1949.2777777777778
6755 Rue Lavoie,45.498753,-73.641102,1947.0204081632653
11600 Boul. De L'Acadie,45.537266,-73.687824,1952.0
5840 Rue Saint-Urbain,45.526238,-73.603283,1922.3016359918201
6521 Rue Saint-Denis,45.534242,-73.605472,1930.0
4300 Rue De Lanaudière,45.528901,-73.574379,1921.5232558139535
505 Avenue Laurier Est,45.528389,-73.588346,1927.101801801802
3055 Rue Mousseau,45.604657,-73.52769,1958.6923076923076
3700 Avenue Calixa-Lavallée,45.52615,-73.568603,1931.5199115044247
5927 Rue Boyer,45.535038,-73.597664,1924.7230769230769
6255 Rue Boyer,45.535714,-73.599199,1923.328947368421
10125 Rue Parthenais,45.571428,-73.647244,1948.6666666666667
11880 Rue Michel-Sarrazin,45.526657,-73.708845,1966.5882352941176
10122 Boul. Olympia,45.560943,-73.654138,1950.0
6400 Avenue Pierre-De-Courbertin,45.578319,-73.536545,
2800 Boul. Lapointe,45.59779,-73.524699,1967.75
4245 Rue Berri,45.523201,-73.578073,1919.4310954063603
2901 Rue De Louvain Est,45.570849,-73.632568,1948.6
5850 Avenue De Carignan,45.583246,-73.554739,1967.3333333333333
8200 Boul. Saint-Laurent,45.539317,-73.633216,1948.3673469387754
770 Rue Du Couvent,45.478319,-73.585308,1926.6279527559054
6017 Rue Cartier,45.542033,-73.592781,1934.4516129032259
1680 Avenue Morgan,45.552045,-73.535492,1942.799749687109
6310 Avenue Somerled,45.470403,-73.635764,1935.5263157894738
2070 Rue Plessis,45.523988,-73.561941,1931.2859680284191
5555 Rue Sherbrooke Est,45.570661,-73.551206,1932.888888888889
100 Rue Sauvé Est,45.548247,-73.658938,1950.6666666666667
7750 Avenue Christophe-Colomb,45.545764,-73.61984,1948.4545454545455
5446 Rue Angers,45.464355,-73.584496,1937.25
9200 8E Avenue,45.571256,-73.632018,1948.6
9200 8E Avenue,46.348675,-72.573799,
5205 Rue Parthenais,45.539848,-73.578693,1922.7787878787879
1822 Boul. De Maisonneuve Ouest,45.494176,-73.580906,1926.6865889212827
5300 Rue Chauveau,45.569623,-73.548094,1936.08
8800 12E Avenue,45.569629,-73.62134,1935.5
5435 Avenue Notre-Dame-De-Grâche,45.475928,-73.616658,1929.8082474226803
5435 Avenue Notre-Dame-De-Grâche,45.475928,-73.616658,1929.8082474226803
6841 Avenue Henri-Julien,45.535596,-73.612061,1938.875
2430 Rue Darling,45.54405,-73.552421,1933.5142857142857
5309 Chemin De La Côte-Des-Neiges,45.496733,-73.623391,1939.0623441396508
2720 Rue Bossuet,45.573737,-73.539669,1965.0
2720 Rue Bossuet,45.573737,-73.539669,1965.0
5955 41E Avenue,45.571836,-73.564249,1951.1666666666667
6025 Rue Beaulieu,45.457299,-73.596731,1952.1
1310 Boul. Saint-Joseph Est,45.532103,-73.582271,1924.559877955759
4650 Rue Ontario Est,45.555703,-73.537767,1943.4056271981242
4650 Ontario Est,45.555703,-73.537767,1943.4056271981242
6030 Rue Marquette,45.54108,-73.59376,1938.6296296296296
