Adresse;Latitude;Longitude;Country;Year
9001-9015 Ch Avon;45.476721;-73.866738;H9H;1991
7950 Ch Wavell;0;0;;1991
7950 Ch Wavell;0;0;;1959
74-76 Boul Brunswick;45.619432;-73.609984;H1G;1959
74-76 Boul Brunswick;45.619432;-73.609984;H1G;1976
3754 Ch Cote-de-liesse;45.577368;-73.607893;H1R;1976
3754 Ch Cote-de-liesse;45.577368;-73.607893;H1R;1998
524-526 place Saint-Henri;45.477345;-73.585745;H4C;1998
4207-4211 rue Notre-Dame O;45.476333;-73.585923;H4C;1932
5026 rue Resther;45.528026;-73.587264;H2J;1880
5026 rue Resther;45.528026;-73.587264;H2J;2014
720 Ch Aberdare;0;0;;2014
720 Ch Aberdare;0;0;;1945
9285-9325 rue Sherbrooke E;45.609999;-73.527504;H1K;1945
2170-2172 avenue De La Salle;45.480728;-73.56523;H3K;1990
1523-1527 rue Dézéry;45.539874;-73.543073;H1W;1900
3535-3537 rue Préfontaine;45.543739;-73.558566;H1W;1885
2585 rue Hogan;45.538095;-73.558499;H2K;1956
1974 rue Wellington;45.479535;-73.558489;H3K;1954
2066-2070 rue Wellington;45.478303;-73.5587;H3K;1900
1600-1604 rue Montcalm;45.875346;-74.376429;J8H;1961
1590-1594 rue Montcalm;45.875346;-74.376429;J8H;1983
988 rue De Bullion;45.509068;-73.558444;H2X;1983
3370-3372 place De Léry;45.540754;-73.558179;H1W;1920
4414 avenue Charlemagne;45.731985;-73.494508;J5Z;1951
3581-3583 rue Cuvillier;45.547622;-73.558607;H1W;2000
3575-3577 rue Cuvillier;45.547597;-73.558519;H1W;1948
3525-3529 rue Préfontaine;45.54371;-73.558486;H1W;1948
1669-1673 rue Visitation;45.522795;-73.547979;H2K;1956
816-818 avenue Duluth E;45.52266;-73.573835;H2L;1900
3120-3122 rue Masson;45.549423;-73.573879;H1Y;1900
1495-1501 rue Marie-Anne E;45.530403;-73.573898;H2J;1967
720 rue Canning;45.487915;-73.574016;H3J;1965
3497-3499 rue Hutchison;45.508931;-73.574026;H2X;1984
1194-1196 rue Sainte-Catherine O;45.498746;-73.573856;H3G;1900
3647-3649 rue Clark;45.513915;-73.573907;H2X;1963
4390-4394 rue Marquette;45.531375;-73.573976;H2J;1900
4529-4533 rue Chabot;45.534496;-73.574022;H2H;1910
4245-4247 rue De Brébeuf;45.527587;-73.57386;H2J;1910
1250 rue Thomas-Keefer;45.476641;-73.574045;H3K;1938
1260 rue Thomas-Keefer;45.476698;-73.574065;H3K;1986
4702-4706 rue Parthenais;45.537346;-73.574022;H2H;1986
3872-3876 rue Saint-Denis;45.519634;-73.573926;H2W;1925
5215 rue Saint-Hubert;45.480105;-73.403449;J3Y;1875
4900-4904 avenue Palm;45.470506;-73.589362;H4C;1944
4910-4914 avenue Palm;45.470428;-73.589417;H4C;1983
800 rue Saint-Philippe;45.860605;-73.230379;J0L;1983
8620-8624 rue Creusot;45.600664;-73.589509;H1P;1875
2085 avenue Grey;45.475992;-73.604981;H4A;1974
